ID,Post_Topic,Image_Type,Text_Style,Caption_Type,Hashtag_Count,CTA_Present,Posted_Time,Works_or_Not,Engagement_Score (1-10),Reason
1,Festive Mithai-Fusion (Diwali macarons),High-res lifestyle photo with warm lighting,Short & punchy Hindi-English mix,Emotional + storytelling,18,Yes,7–9 PM,Works,9,"Festive hook + fusion appeal + warm visuals = high shareability"
2,Plain croissant product shot,White background flat lay,Long paragraph description,Informational only,5,No,2 PM,Doesn't Work,3,"No emotional hook, sterile image, no CTA drives low saves/shares"
3,Behind-the-scenes: dough kneading reel (video),Close-up action video with ASMR audio,1–2 line teaser + question,Curiosity-driven,22,Yes,8 AM,Works,9,"ASMR + BTS = high retention, comments, saves"
4,Holi special colour cookies,Vibrant flat lay with gulal accents,Festive + playful Hindi caption,Celebratory,20,Yes,9 AM (Holi week),Works,9,"Seasonal relevance + colourful visual = massive reach boost"
5,Generic 'Order Now' promo,Stock-looking graphic with logo,Salesy English text,Hard sell,3,Yes,12 PM,Doesn't Work,2,"Feels like an ad, low trust, audiences scroll past"
6,Customer testimonial (text on photo),Clean pastel graphic with quote,Short quote + founder note,Social proof,10,Yes,6 PM,Works,8,"Trust builder, highly shareable, saves brand credibility"
7,Blurry product photo of pastries,Poor lighting overhead shot,Random description,Unclear,2,No,Random time,Doesn't Work,1,"Low quality image = instant scroll-past, harms brand perception"
8,Eggless cake for Navratri,Styled top-down shot with flowers,Devotional + inclusive tone,Community-driven,19,Yes,8 AM (Navratri),Works,9,"Targets religious occasions + dietary need = niche but viral"
9,Price list graphic,Busy table/grid design,All prices listed,Transactional,1,No,3 PM,Doesn't Work,2,"Looks cluttered, feels market-stall, not aspirational"
10,Step-by-step recipe reel (sooji halwa cake),Multi-clip reel with on-screen text,Educational + warm tone,Value-giving,25,Yes,7 AM,Works,8,"Educational content gets saved heavily, builds authority"
11,Mother's Day custom cake,Emotional close-up with soft bokeh,Heartfelt Hindi-English caption,Emotional storytelling,20,Yes,8 AM (Mother's Day),Works,10,"Emotion + occasion + personalisation = peak virality"
12,Random 'Good Morning' post with bakery logo,Generic sunrise stock image,Good morning text,Filler content,4,No,6 AM,Doesn't Work,1,"No brand relevance, feels spammy, wastes posting slot"
13,Trending audio reel: packaging process,Satisfying packaging closeup video,Trending audio + 3-word text,Trend-riding,28,No,9 PM,Works,8,"Trend audio boosts discoverability even with minimal caption"
14,Independence Day tri-colour pastries,Flat lay with flag-colour decoration,Patriotic Hindi caption,Celebratory + patriotic,22,Yes,7 AM (Aug 15),Works,9,"National occasion + visual theme = emotional engagement spike"
15,Overloaded text promo graphic,Bright red/yellow image with 10 font sizes,Discount % + many offers,Cluttered ad-style,2,Yes,11 AM,Doesn't Work,2,"Visual chaos, looks untrustworthy, not Insta-native"
16,Founder story: why we started baking,Portrait photo of founder in bakery,Long personal story caption,Authentic narrative,12,Yes,6 PM (Friday),Works,8,"Personal brand + story = deep connection + DMs/saves"
17,Poll sticker: 'Chocolate vs Red Velvet?',Single split image of both cakes,1-line question in Hindi,Interactive/playful,8,Yes (poll),11 AM,Works,8,"Interactive format boosts story views + creates buzz"
18,Catalogue post (PDF-style 9-grid),9 different product images,Each image has product name,Informational,5,No,Random,Doesn't Work,3,"Grid posts feel corporate, low individual post engagement"
19,Monsoon special hot chocolate paired post,Moody rainy-window aesthetic photo,Poetic Hindi caption ('baarish aur chocolate'),Seasonal + mood-matching,18,Yes,7 PM (rainy day),Works,9,"Mood + season + Hindi poetry = emotional resonance"
20,Random Wednesday motivational quote,Generic quote over stock image,Inspirational English quote,Irrelevant filler,3,No,9 AM,Doesn't Work,1,"Off-brand, no bakery connection, confuses audience"
21,New product launch: mango cheesecake,Macro shot of product with mango decor,Urgency + limited edition hook,FOMO-driven,20,Yes,6 PM (summer),Works,8,"Seasonal launch + FOMO + beautiful macro = high saves"
22,Unboxing reel of a custom order,First-person POV reel from customer perspective,Excited customer voice + emoji,Social proof + experiential,23,Yes,8 PM,Works,8,"Customer POV builds trust + desire, high relatability"
23,Only logo post for anniversary,Static logo on plain background,Happy anniversary to us!,Self-congratulatory,2,No,10 AM,Doesn't Work,2,"No audience value, vanity content, low engagement"
24,Eid special date & pistachio tart,Rich jewel-tone styled photo,Warm Eid greetings in Urdu + Hindi,Inclusive community,21,Yes,7 AM (Eid),Works,9,"Cultural inclusion + gorgeous styling = massive reach in community"
25,Bulk/corporate order promotion,Clean professional image with bulk boxes,B2B value proposition caption,Functional + trust-building,10,Yes,10 AM (Monday),Works,7,"Monday B2B post targets business buyers planning office events"
